Time (h),Voltage (V)
0.0154957404322644,1.90470823985998
1.01265250684689,1.91279889463718
2.029560472714,1.90927713544803
3.01386635071705,1.91281606864804
4.04457025113926,1.92594793692086
5.01571765292808,1.92536822347408
6.045572363731,1.92180162707303
6.97777026831473,1.92692393885664
7.98800869891187,1.92342527762513
8.92973168039204,1.92294746693267
9.94991978269529,1.92219791556204
10.8717434207633,1.91622188514784
11.8821233829636,1.91550630136198
12.8545445691814,1.939974284926
13.845308251176,1.93932663630968
14.7969809043623,1.9415979354781
15.8174520698719,1.94641453899875
16.7799235843836,1.9681334127019
17.8003947498933,1.97295001622255
18.7810672285786,1.96677018029972
19.8113465341911,1.9715528162356
20.7826354675832,1.97375618023447
21.8325310534015,1.97847088100081
22.8237193302058,1.98617246472143
23.8045333404943,1.98277570624424
