Voltage (V),Current (A)
1.52944376236273,0.128240898955564
1.5816656435441,0.235447927280237
1.71168747015893,0.622909454707305
1.77243537275766,1.11592993930879
1.80973671645863,1.58455897088635
1.84170929677375,2.0842541436464
1.86728736102585,2.55560249262191
1.89037866903122,3.01012678193847
1.91258184980561,3.43999867363233
1.93256471250256,3.93253160385186
1.95032725712207,4.38414887877837
1.9688299077674,4.83559447962673
1.98733255841272,5.28704008047509
2.00361489098061,5.80114671984911
2.02063732957431,6.27365100761751
2.03543945009057,6.74667031762037
2.05098167663264,7.19880261478134
2.06652390317471,7.71308092823352
2.08132602369097,8.18610023823637
2.09538803818142,8.65929122231738
2.10796984062024,9.13282555455469
2.12203185511069,9.64744721616318
2.1338735515237,10.1004378837149
2.14719545998833,10.5738005418741
2.15903715640134,11.0267912094258
2.17087885281435,11.5004972157413
